device_id,ts,seq,rssi,reading,val
412222,1654181362,3373,-119,hum,80
412222,1654182262,3373,-119,temp,16.2
412222,1654182262,3373,-119,hum,80
412222,1654183162,3373,-119,temp,16.2
412222,1654183162,3373,-119,hum,80
412222,1654184062,3373,-119,temp,16.2
412222,1654184062,3373,-119,hum,80
412222,1654184962,3373,-119,temp,16.2
412222,1654184962,3373,-119,hum,80
412222,1654185862,3373,-119,temp,16.2
412222,1654185862,3373,-119,hum,80
412222,1654186762,3373,-119,temp,16.3
412222,1654186762,3373,-119,hum,79
412222,1654187662,3373,-119,temp,16.2
412222,1654187662,3373,-119,hum,79
412222,1654188562,3373,-119,temp,16.2
412222,1654188562,3373,-119,hum,79
412222,1654189462,3373,-119,temp,16.3
412222,1654189462,3373,-119,hum,79
412222,1654190362,3373,-119,temp,16.2
412222,1654190362,3373,-119,hum,78
412222,1654202962,3375,-128,temp,16.1
412222,1654202962,3375,-128,hum,77
412222,1654203862,3375,-128,temp,16.1
412222,1654203862,3375,-128,hum,77
412222,1654204762,3375,-128,temp,16.1
412222,1654204762,3375,-128,hum,77
412222,1654205662,3375,-128,temp,16.1
412222,1654205662,3375,-128,hum,77
412222,1654206562,3375,-128,temp,16.2
412222,1654206562,3375,-128,hum,77
412222,1654207462,3375,-128,temp,16.1
412222,1654207462,3375,-128,hum,77
412222,1654208362,3375,-128,temp,16.2
412222,1654208362,3375,-128,hum,77
412222,1654209262,3375,-128,temp,16.2
412222,1654209262,3375,-128,hum,77
412222,1654210162,3375,-128,temp,16.2
412222,1654210162,3375,-128,hum,77
412222,1654211062,3375,-128,temp,16.3
412222,1654211062,3375,-128,hum,77
412222,1654211962,3375,-128,temp,16.3
412222,1654211962,3375,-128,hum,77
412222,1654212862,3375,-128,temp,16.4
412222,1654212862,3375,-128,hum,77
412222,1654213762,3375,-128,temp,16.4
412222,1654213762,3375,-128,hum,77
412222,1654214662,3375,-128,temp,16.4
412222,1654214662,3375,-128,hum,77
412222,1654215562,3375,-128,temp,16.4
412222,1654215562,3375,-128,hum,77
412222,1654218265,3376,-127,temp,16.4
412222,1654218265,3376,-127,hum,76
412222,1654219165,3376,-127,temp,16.4
412222,1654219165,3376,-127,hum,76
412222,1654220065,3376,-127,temp,16.3
412222,1654220065,3376,-127,hum,76
412222,1654220965,3376,-127,temp,16.4
412222,1654220965,3376,-127,hum,76
412222,1654221865,3376,-127,temp,16.4
412222,1654221865,3376,-127,hum,76
412222,1654222765,3376,-127,temp,16.2
412222,1654222765,3376,-127,hum,76
412222,1654223665,3376,-127,temp,16.3
412222,1654223665,3376,-127,hum,76
412222,1654224565,3376,-127,temp,16.4
412222,1654224565,3376,-127,hum,76
412222,1654225465,3376,-127,temp,16.3
412222,1654225465,3376,-127,hum,76
412222,1654226365,3376,-127,temp,16.3
412222,1654226365,3376,-127,hum,76
412222,1654227265,3376,-127,temp,16.3
412222,1654227265,3376,-127,hum,76
412222,1654239866,3378,-129,temp,16.0
412222,1654239866,3378,-129,hum,75
412222,1654240766,3378,-129,temp,16.0
412222,1654240766,3378,-129,hum,75
412222,1654241666,3378,-129,temp,16.0
412222,1654241666,3378,-129,hum,74
412222,1654242566,3378,-129,temp,16.0
412222,1654242566,3378,-129,hum,74
412222,1654243466,3378,-129,temp,16.0
412222,1654243466,3378,-129,hum,74
412222,1654244366,3378,-129,temp,16.0
412222,1654244366,3378,-129,hum,74
412222,1654245266,3378,-129,temp,16.0
412222,1654245266,3378,-129,hum,74
412222,1654246166,3378,-129,temp,16.0
412222,1654246166,3378,-129,hum,74
412222,1654247066,3378,-129,temp,16.0
412222,1654247066,3378,-129,hum,74
412222,1654247966,3378,-129,temp,16.0
412222,1654247966,3378,-129,hum,74
412222,1654248866,3378,-129,temp,16.0
412222,1654248866,3378,-129,hum,74
412222,1654249766,3378,-129,temp,16.0
412222,1654249766,3378,-129,hum,74
412222,1654250666,3378,-129,temp,15.9
412222,1654250666,3378,-129,hum,74
412222,1654251563,3379,-128,temp,15.9
412222,1654251563,3379,-128,hum,74
412222,1654252463,3379,-128,temp,15.9
412222,1654252463,3379,-128,hum,74
412222,1654253363,3379,-128,temp,16.0
412222,1654253363,3379,-128,hum,73
412222,1654254263,3379,-128,temp,15.9
412222,1654254263,3379,-128,hum,75
412222,1654255163,3379,-128,temp,15.7
412222,1654255163,3379,-128,hum,76
412222,1654256063,3379,-128,temp,15.5
412222,1654256063,3379,-128,hum,78
412222,1654256963,3379,-128,temp,15.4
412222,1654256963,3379,-128,hum,79
412222,1654257863,3379,-128,temp,15.3
412222,1654257863,3379,-128,hum,80
412222,1654258763,3379,-128,temp,15.2
412222,1654258763,3379,-128,hum,80
412222,1654259663,3379,-128,temp,15.1
412222,1654259663,3379,-128,hum,80
412222,1654260563,3379,-128,temp,15.1
412222,1654260563,3379,-128,hum,80
412222,1654261463,3379,-128,temp,15.0
412222,1654261463,3379,-128,hum,80
412222,1654262363,3379,-128,temp,14.9
412222,1654262363,3379,-128,hum,80
412222,1654263265,3380,-125,temp,14.9
412222,1654263265,3380,-125,hum,81
412222,1654264165,3380,-125,temp,14.8
412222,1654264165,3380,-125,hum,81
412222,1654265065,3380,-125,temp,14.8
412222,1654265065,3380,-125,hum,81
412222,1654265965,3380,-125,temp,14.8
412222,1654265965,3380,-125,hum,82
412222,1654266865,3380,-125,temp,14.7
412222,1654266865,3380,-125,hum,82
412222,1654267765,3380,-125,temp,14.6
412222,1654267765,3380,-125,hum,82
412222,1654268665,3380,-125,temp,14.6
412222,1654268665,3380,-125,hum,83
412222,1654269565,3380,-125,temp,14.6
412222,1654269565,3380,-125,hum,83
412222,1654270465,3380,-125,temp,14.5
412222,1654270465,3380,-125,hum,83
412222,1654271365,3380,-125,temp,14.4
412222,1654271365,3380,-125,hum,83
412222,1654272265,3380,-125,temp,14.4
412222,1654272265,3380,-125,hum,83
412222,1654273165,3380,-125,temp,14.4
412222,1654273165,3380,-125,hum,83
412222,1654274065,3380,-125,temp,14.3
412222,1654274065,3380,-125,hum,83
412222,1654274965,3380,-125,temp,14.3
412222,1654274965,3380,-125,hum,83
412222,1654275865,3380,-125,temp,14.3
412222,1654275865,3380,-125,hum,83
412222,1654276764,3381,-125,temp,14.3
412222,1654276764,3381,-125,hum,83
412222,1654277664,3381,-125,temp,14.3
